In,Out,date,weekday,hour,year,month,dayofyear,weekofyear,holiday
730,679,6,5,11,2013,7,187,27,0
883,627,6,5,12,2013,7,187,27,0
887,658,6,5,13,2013,7,187,27,0
933,708,6,5,14,2013,7,187,27,0
967,723,6,5,15,2013,7,187,27,0
988,715,6,5,16,2013,7,187,27,0
899,691,6,5,17,2013,7,187,27,0
790,592,6,5,18,2013,7,187,27,0
541,489,6,5,19,2013,7,187,27,0
440,441,6,5,20,2013,7,187,27,0
296,675,6,5,21,2013,7,187,27,0
201,316,6,5,22,2013,7,187,27,0
112,168,6,5,23,2013,7,187,27,0
67,71,7,6,0,2013,7,188,27,0
38,28,7,6,1,2013,7,188,27,0
28,30,7,6,2,2013,7,188,27,0
7,22,7,6,3,2013,7,188,27,0
15,24,7,6,4,2013,7,188,27,0
21,41,7,6,5,2013,7,188,27,0
61,102,7,6,6,2013,7,188,27,0
128,230,7,6,7,2013,7,188,27,0
192,399,7,6,8,2013,7,188,27,0
381,680,7,6,9,2013,7,188,27,0
558,912,7,6,10,2013,7,188,27,0
741,961,7,6,11,2013,7,188,27,0
893,832,7,6,12,2013,7,188,27,0
946,879,7,6,13,2013,7,188,27,0
887,888,7,6,14,2013,7,188,27,0
927,968,7,6,15,2013,7,188,27,0
831,866,7,6,16,2013,7,188,27,0
801,769,7,6,17,2013,7,188,27,0
787,645,7,6,18,2013,7,188,27,0
545,588,7,6,19,2013,7,188,27,0
402,452,7,6,20,2013,7,188,27,0
303,418,7,6,21,2013,7,188,27,0
192,218,7,6,22,2013,7,188,27,0
115,100,7,6,23,2013,7,188,27,0
58,47,8,0,0,2013,7,189,28,0
37,17,8,0,1,2013,7,189,28,0
14,11,8,0,2,2013,7,189,28,0
12,17,8,0,3,2013,7,189,28,0
15,25,8,0,4,2013,7,189,28,0
34,61,8,0,5,2013,7,189,28,0
94,134,8,0,6,2013,7,189,28,0
262,264,8,0,7,2013,7,189,28,0
412,450,8,0,8,2013,7,189,28,0
393,556,8,0,9,2013,7,189,28,0
480,711,8,0,10,2013,7,189,28,0
681,645,8,0,11,2013,7,189,28,0
724,552,8,0,12,2013,7,189,28,0
706,603,8,0,13,2013,7,189,28,0
739,674,8,0,14,2013,7,189,28,0
758,679,8,0,15,2013,7,189,28,0
679,691,8,0,16,2013,7,189,28,0
644,670,8,0,17,2013,7,189,28,0
559,481,8,0,18,2013,7,189,28,0
400,375,8,0,19,2013,7,189,28,0
315,320,8,0,20,2013,7,189,28,0
292,279,8,0,21,2013,7,189,28,0
147,158,8,0,22,2013,7,189,28,0
60,68,8,0,23,2013,7,189,28,0
51,39,9,1,0,2013,7,190,28,0
28,8,9,1,1,2013,7,190,28,0
13,11,9,1,2,2013,7,190,28,0
11,13,9,1,3,2013,7,190,28,0
18,25,9,1,4,2013,7,190,28,0
34,55,9,1,5,2013,7,190,28,0
92,126,9,1,6,2013,7,190,28,0
264,312,9,1,7,2013,7,190,28,0
410,530,9,1,8,2013,7,190,28,0
373,677,9,1,9,2013,7,190,28,0
529,731,9,1,10,2013,7,190,28,0
